0000	E8
0922	A4
0923	9B
0924	24
0925	8A
0926	FC
0927	2E
0928	03
0929	91
092A	E3
092B	02
092C	45
092D	DF
092E	BD
092F	5E
0930	0E
0931	AF
0932	46
0933	9C
0934	68
0935	AB
0936	20
0937	E6
0938	F0
0939	CB
093A	B6
093B	52
093C	26
093D	A5
093E	FE
093F	CA
0940	40
0941	35
0942	9D
0943	53
0944	94
0945	8A
0946	1D
0947	8D
0948	7B
0949	06
094A	AF
094B	4F
094C	A8
094D	CB
094E	C1
094F	71
0950	34
0951	B8
0952	4C
0953	2C
0954	D2
0955	82
0956	C2
0957	A1
0958	2E
0959	28
095A	44
095B	BD
095C	26
095D	7C
095E	19
095F	0F
0960	63
0961	A0
0962	3A
0963	14
0964	77
0965	DB
0966	CA
0967	EB
0968	EA
0969	0E
096A	40
096B	66
096C	36
096D	51
096E	0A
096F	22
0970	EA
0971	79
0972	85
0973	DF
0974	DA
0975	C0
0976	6E
0977	5B
0978	F9
0979	57
097A	FE
097B	81
097C	0B
097D	CC
097E	09
097F	76
0980	B6
0981	ED
0982	D5
0983	06
0984	67
0985	D7
0986	4E
0987	24
0988	43
0989	BA
098A	E2
098B	62
098C	E4
098D	9B
098E	B2
098F	31
0990	22
0991	31
0992	7A
0993	22
0994	7F
0995	58
0996	FE
0997	25
0998	32
0999	DE
099A	29
099B	8D
099C	82
099D	E8
099E	4F
099F	FF
09A0	8F
09A1	B9
09A2	39
09A3	DD
09A4	29
09A5	44
09A6	D1
09A7	F1
09A8	0B
09A9	67
09AA	59
09AB	8E
09AC	0C
09AD	F7
09AE	AF
09AF	07
09B0	82
09B1	15
09B2	63
09B3	B8
09B4	52
09B5	7B
09B6	A4
09B7	60
09B8	AF
09B9	61
09BA	CA
09BB	F2
09BC	E0
09BD	3A
09BE	27
09BF	F6
09C0	76
09C1	C2
09C2	7E
09C3	82
09C4	2D
09C5	4F
09C6	65
09C7	4D
09C8	F6
09C9	09
09CA	54
09CB	1F
09CC	73
09CD	E2
09CE	F9
09CF	AB
09D0	CA
09D1	C4
09D2	42
09D3	39
09D4	C6
09D5	82
09D6	29
09D7	C1
09D8	B1
09D9	71
09DA	1D
09DB	49
09DC	24
09DD	AF
09DE	08
09DF	E7
09E0	B3
09E1	AC
09E2	0C
09E3	63
09E4	4A
09E5	63
09E6	AC
09E7	7E
09E8	8D
09E9	47
09EA	4A
09EB	A6
09EC	B8
09ED	63
09EE	E2
09EF	05
09F0	97
09F1	A6
09F2	3D
09F3	BA
09F4	60
09F5	B8
09F6	9B
09F7	8C
09F8	B7
09F9	BC
09FA	9D
09FB	09
09FC	12
09FD	95
09FE	54
09FF	5E
0A00	46
0A01	CE
0A02	63
0A03	7F
0A04	40
0A05	7C
0A06	DA
0A07	24
0A08	71
0A09	03
0A0A	E8
0A0B	8A
0A0C	BE
0A0D	B8
0A0E	43
0A0F	1F
0A10	54
0A11	55
0A12	B6
0A13	0A
0A14	84
0A15	BE
0A16	DF
0A17	57
0A18	B4
0A19	F3
0A1A	06
0A1B	62
0A1C	8A
0A1D	EF
0A1E	94
0A1F	91
0A20	10
0A21	10
0A22	21
0A23	27
0A24	DD
0A25	F2
0A26	35
0A27	00
0A28	1D
0A29	DC
0A2A	F3
0A2B	DE
0A2C	38
0A2D	A1
0A2E	62
0A2F	B5
0A30	44
0A31	99
0A32	5D
0A33	45
0A34	6D
0A35	B5
0A36	07
0A37	BB
0A38	6D
0A39	88
0A3A	60
0A3B	8A
0A3C	DF
0A3D	4C
0A3E	A0
0A3F	15
0A40	77
0A41	D5
0A42	1E
0A43	0E
0A44	7B
0A45	5F
0A46	D4
0A47	87
0A48	AB
0A49	3B
0A4A	BB
0A4B	93
0A4C	61
0A4D	BF
0A4E	80
0A4F	48
0A50	9F
0A51	C0
0A52	61
0A53	05
0A54	CD
0A55	92
0A56	D6
0A57	D2
0A58	86
0A59	D9
0A5A	0C
0A5B	2D
0A5C	9E
0A5D	92
0A5E	F1
0A5F	28
0A60	AB
0A61	D3
0A62	27
0A63	28
0A64	D2
0A65	D3
0A66	0E
0A67	03
0A68	1B
0A69	9A
0A6A	86
0A6B	35
0A6C	80
0A6D	59
0A6E	CC
0A6F	9A
0A70	94
0A71	9D
0A72	96
0A73	A1
0A74	03
0A75	BE
0A76	50
0A77	84
0A78	59
0A79	68
0A7A	B4
0A7B	2B
0A7C	DF
0A7D	C8
0A7E	5D
0A7F	48
0A80	7E
0A81	82
0A82	C8
0A83	09
0A84	61
0A85	D9
0A86	83
0A87	51
0A88	7E
0A89	9E
0A8A	AB
0A8B	0B
0A8C	16
0A8D	7D
0A8E	29
0A8F	B4
0A90	42
0A91	61
0A92	7B
0A93	48
0A94	55
0A95	39
0A96	6E
0A97	3E
0A98	01
0A99	25
0A9A	DE
0A9B	49
0A9C	AD
0A9D	9A
0A9E	A2
0A9F	FE
0AA0	C0
0AA1	BF
0AA2	EA
0AA3	A6
0AA4	C9
0AA5	4C
0AA6	C0
0AA7	27
0AA8	E3
0AA9	6C
0AAA	A7
0AAB	6F
0AAC	7A
0AAD	76
0AAE	B8
0AAF	4E
0AB0	23
0AB1	B6
0AB2	88
0AB3	14
0AB4	79
0AB5	72
0AB6	D8
0AB7	D5
0AB8	53
0AB9	89
0ABA	A2
0ABB	2D
0ABC	D6
0ABD	02
0ABE	07
0ABF	EF
0AC0	BB
0AC1	1D
0AC2	E1
0AC3	DB
0AC4	21
0AC5	83
0AC6	7F
0AC7	5B
0AC8	32
0AC9	70
0ACA	5B
0ACB	0C
0ACC	43
0ACD	EE
0ACE	B3
0ACF	D7
0AD0	1F
0AD1	72
0AD2	0D
0AD3	03
0AD4	06
0AD5	9F
0AD6	0D
0AD7	C6
0AD8	E7
0AD9	A7
0ADA	45
0ADB	EC
0ADC	04
0ADD	ED
0ADE	64
0ADF	66
0AE0	35
0AE1	4F
0AE2	E3
0AE3	22
0AE4	8E
0AE5	F7
0AE6	5D
0AE7	D5
0AE8	DF
0AE9	AF
0AEA	00
0AEB	44
0AEC	ED
0AED	93
0AEE	47
0AEF	13
0AF0	40
0AF1	47
0AF2	AF
0AF3	22
0AF4	60
0AF5	43
0AF6	F7
0AF7	6D
0AF8	D1
0AF9	55
0AFA	4C
0AFB	E8
0AFC	94
0AFD	C7
0AFE	D8
0AFF	70
0B00	7A
0B01	90
0B02	E4
0B03	E0
0B04	CD
0B05	E4
0B06	CD
0B07	06
0B08	E7
0B09	80
0B0A	F5
0B0B	FB
0B0C	20
0B0D	9C
0B0E	87
0B0F	BD
0B10	F7
0B11	8C
0B12	7E
0B13	92
0B14	A7
0B15	07
0B16	55
0B17	B0
0B18	60
0B19	15
0B1A	CC
0B1B	B1
0B1C	47
0B1D	0E
0B1E	85
0B1F	58
0B20	CD
0B21	30
0B22	54
0B23	97
0B24	DF
0B25	F1
0B26	48
0B27	70
0B28	28
0B29	22
0B2A	C0
0B2B	50
0B2C	0A
0B2D	D9
0B2E	BF
0B2F	B0
0B30	B7
0B31	C0
0B32	D3
0B33	9A
0B34	65
0B35	89
0B36	8E
0B37	5A
0B38	8C
0B39	BD
0B3A	10
0B3B	D7
0B3C	D3
0B3D	20
0B3E	77
0B3F	BC
0B40	CD
0B41	AC
0B42	F9
0B43	18
0B44	E3
0B45	14
0B46	B2
0B47	3C
0B48	0A
0B49	D4
0B4A	33
0B4B	AD
0B4C	1D
0B4D	9A
0B4E	4F
0B4F	81
0B50	F5
0B51	5F
0B52	88
0B53	D2
0B54	F0
0B55	B1
0B56	6A
0B57	4C
0B58	14
0B59	98
0B5A	FF
0B5B	C3
0B5C	5E
0B5D	D6
0B5E	5E
0B5F	77
0B60	21
0B61	A6
0B62	41
0B63	75
0B64	0B
0B65	81
0B66	93
0B67	66
0B68	10
0B69	6F
0B6A	FA
0B6B	E5
0B6C	60
0B6D	50
0B6E	BF
0B6F	14
0B70	36
0B71	97
0B72	D2
0B73	9C
0B74	E6
0B75	22
0B76	CF
0B77	A9
0B78	59
0B79	48
0B7A	AA
0B7B	56
0B7C	DB
0B7D	6D
0B7E	F8
0B7F	00
0B80	6B
0B81	5D
0B82	2B
0B83	C4
0B84	BA
0B85	7C
0B86	67
0B87	DB
0B88	5C
0B89	EB
0B8A	59
0B8B	53
0B8C	CF
0B8D	6B
0B8E	9F
0B8F	99
0B90	3D
0B91	B1
0B92	55
0B93	5F
0B94	B9
0B95	A0
0B96	B4
0B97	C6
0B98	05
0B99	D5
0B9A	43
0B9B	9C
0B9C	67
0B9D	8D
0B9E	22
0B9F	EB
0BA0	43
0BA1	DC
0BA2	9C
0BA3	6A
0BA4	80
0BA5	B7
0BA6	E1
0BA7	F1
0BA8	E0
0BA9	F3
0BAA	54
0BAB	AD
0BAC	3E
0BAD	B1
0BAE	88
0BAF	7A
0BB0	88
0BB1	BC
0BB2	1E
0BB3	6A
0BB4	35
0BB5	A3
0BB6	14
0BB7	8A
0BB8	6E
0BB9	4D
0BBA	A9
0BBB	92
0BBC	C2
0BBD	4D
0BBE	E6
0BBF	F0
0BC0	FD
0BC1	7D
0BC2	87
0BC3	63
0BC4	0F
0BC5	D9
0BC6	A1
0BC7	A5
0BC8	B3
0BC9	21
0BCA	9E
0BCB	A4
0BCC	63
0BCD	8E
0BCE	2C
0BCF	77
0BD0	88
0BD1	01
0BD2	D3
0BD3	7E
0BD4	7A
0BD5	B3
0BD6	FD
0BD7	89
0BD8	07
0BD9	D7
0BDA	B7
0BDB	61
0BDC	FA
0BDD	49
0BDE	F2
0BDF	66
0BE0	43
0BE1	20
0BE2	DA
0BE3	49
0BE4	A5
0BE5	46
0BE6	F3
0BE7	11
0BE8	58
0BE9	9C
0BEA	FE
0BEB	DB
0BEC	6B
0BED	BB
0BEE	FA
0BEF	2D
0BF0	66
0BF1	99
0BF2	9E
0BF3	F0
0BF4	77
0BF5	14
0BF6	72
0BF7	BC
0BF8	5E
0BF9	2D
0BFA	A5
0BFB	E7
0BFC	D0
0BFD	F5
0BFE	2A
0BFF	DF
0C00	6F
0C01	FB
0C02	FB
0C03	4A
0C04	27
0C05	F8
0C06	5B
0C07	4B
0C08	BF
0C09	80
0C0A	2C
0C0B	02
0C0C	37
0C0D	94
0C0E	EE
0C0F	BA
0C10	59
0C11	05
0C12	36
0C13	7D
0C14	41
0C15	B7
0C16	F8
0C17	A3
0C18	92
0C19	9E
0C1A	4A
0C1B	39
0C1C	61
0C1D	EF
0C1E	48
0C1F	B4
0C20	58
0C21	3A
0C22	CA
0C23	F1
0C24	34
0C25	35
0C26	FC
0C27	D7
0C28	6C
0C29	88
0C2A	4F
0C2B	B8
0C2C	B4
0C2D	1D
0C2E	6F
0C2F	55
0C30	C3
0C31	C6
0C32	24
0C33	34
0C34	25
0C35	83
0C36	E8
0C37	7A
0C38	1D
0C39	6A
0C3A	2C
0C3B	A0
0C3C	4B
0C3D	F5
0C3E	42
0C3F	AF
0C40	66
0C41	6A
0C42	1B
0C43	06
0C44	10
0C45	3A
0C46	3A
0C47	D2
0C48	0F
0C49	EE
0C4A	3C
0C4B	28
0C4C	8B
0C4D	D0
0C4E	30
0C4F	7D
0C50	F1
0C51	54
0C52	51
0C53	A9
0C54	D2
0C55	42
0C56	01
0C57	97
0C58	7C
0C59	7C
0C5A	93
0C5B	EF
0C5C	46
0C5D	D3
0C5E	FB
0C5F	F5
0C60	C3
0C61	61
0C62	36
0C63	1C
0C64	D0
0C65	5C
0C66	B7
0C67	8A
0C68	68
0C69	3B
0C6A	10
0C6B	19
0C6C	9B
0C6D	4B
0C6E	9D
0C6F	33
0C70	45
0C71	77
0C72	CD
0C73	1D
0C74	8A
0C75	E4
0C76	EE
0C77	AD
0C78	39
0C79	19
0C7A	78
0C7B	4E
0C7C	F2
0C7D	AB
0C7E	A0
0C7F	7F
0C80	28
0C81	DD
0C82	45
0C83	12
0C84	DC
0C85	54
0C86	CA
0C87	6A
0C88	B7
0C89	9E
0C8A	A0
0C8B	2B
0C8C	05
0C8D	6B
0C8E	3E
0C8F	9B
0C90	6F
0C91	E0
0C92	75
0C93	F1
0C94	D3
0C95	ED
0C96	23
0C97	17
0C98	9F
0C99	25
0C9A	8B
0C9B	D5
0C9C	29
0C9D	02
0C9E	E8
0C9F	11
0CA0	83
0CA1	7A
0CA2	AD
0CA3	89
0CA4	F0
0CA5	66
0CA6	99
0CA7	6D
0CA8	0D
0CA9	65
0CAA	83
0CAB	E7
0CAC	C1
0CAD	E8
0CAE	1D
0CAF	2E
0CB0	58
0CB1	C5
0CB2	2D
0CB3	45
0CB4	84
0CB5	B6
0CB6	EC
0CB7	A4
0CB8	D1
0CB9	A9
0CBA	14
0CBB	FB
0CBC	C0
0CBD	B7
0CBE	87
0CBF	FE
0CC0	D3
0CC1	54
0CC2	E5
0CC3	6E
0CC4	75
0CC5	79
0CC6	77
0CC7	D0
0CC8	AC
0CC9	0C
0CCA	13
0CCB	C6
0CCC	FC
0CCD	61
0CCE	B8
0CCF	00
0CD0	B7
0CD1	A8
0CD2	45
0CD3	9A
0CD4	D2
0CD5	C5
0CD6	7B
0CD7	47
0CD8	E1
0CD9	3E
0CDA	EA
0CDB	57
0CDC	4F
0CDD	76
0CDE	7F
0CDF	E0
0CE0	70
0CE1	93
0CE2	21
0CE3	B9
0CE4	FE
0CE5	46
0CE6	B9
0CE7	95
0CE8	3A
0CE9	14
0CEA	10
0CEB	BE
0CEC	CB
0CED	C5
0CEE	8F
0CEF	A8
0CF0	DE
0CF1	0C
0CF2	3D
0CF3	F7
0CF4	92
0CF5	B8
0CF6	79
0CF7	F5
0CF8	95
0CF9	7F
0CFA	9A
0CFB	C9
0CFC	B6
0CFD	CB
0CFE	AA
0CFF	5C
0D00	16
0D01	F9
0D02	26
0D03	64
0D04	3F
0D05	EE
0D06	BC
0D07	40
0D08	64
0D09	65
0D0A	91
0D0B	58
0D0C	CF
0D0D	0B
0D0E	64
0D0F	76
0D10	44
0D11	06
0D12	C7
0D13	A8
0D14	92
0D15	EC
0D16	CA
0D17	7D
0D18	52
0D19	48
0D1A	67
0D1B	69
0D1C	EC
0D1D	13
0D1E	4A
0D1F	06
0D20	CA
0D21	C1
0D22	39
0D23	94
0D24	8B
0D25	22
0D26	12
0D27	D1
0D28	08
0D29	40
0D2A	BD
0D2B	9A
0D2C	BE
0D2D	92
0D2E	D4
0D2F	BC
0D30	4F
0D31	C6
0D32	09
0D33	96
0D34	E2
0D35	E6
0D36	37
0D37	45
0D38	51
0D39	71
0D3A	AF
0D3B	D5
0D3C	A3
0D3D	59
0D3E	96
0D3F	9E
0D40	AD
0D41	F2
0D42	C2
0D43	82
0D44	8F
0D45	E5
0D46	0B
0D47	24
0D48	99
0D49	F7
0D4A	63
0D4B	3F
0D4C	25
0D4D	D0
0D4E	08
0D4F	54
0D50	D9
0D51	3E
0D52	15
0D53	A8
0D54	F0
0D55	8A
0D56	76
0D57	48
0D58	44
0D59	31
0D5A	78
0D5B	4C
0D5C	B3
0D5D	64
0D5E	C6
0D5F	90
0D60	F4
0D61	89
0D62	6F
0D63	7B
0D64	40
0D65	B9
0D66	09
0D67	23
0D68	43
0D69	9F
0D6A	AA
0D6B	CD
0D6C	C1
0D6D	B5
0D6E	9E
0D6F	11
0D70	AC
0D71	8E
0D72	C8
0D73	5C
0D74	B7
0D75	67
0D76	34
0D77	12
0D78	AD
0D79	23
0D7A	1D
0D7B	E7
0D7C	1A
0D7D	7F
0D7E	76
0D7F	40
0D80	27
0D81	CD
0D82	69
0D83	38
0D84	04
0D85	B4
0D86	6F
0D87	07
0D88	C9
0D89	10
0D8A	60
0D8B	BE
0D8C	37
0D8D	95
0D8E	A5
0D8F	6D
0D90	A1
0D91	68
0D92	88
0D93	D0
0D94	81
0D95	1B
0D96	DE
0D97	A1
0D98	12
0D99	1D
0D9A	0F
0D9B	95
0D9C	8D
0D9D	28
0D9E	2B
0D9F	1D
0DA0	3A
0DA1	7A
0DA2	E2
0DA3	08
0DA4	C2
0DA5	81
0DA6	9B
0DA7	EE
0DA8	59
0DA9	52
0DAA	18
0DAB	EC
0DAC	60
0DAD	17
0DAE	97
0DAF	0F
0DB0	87
0DB1	D3
0DB2	71
0DB3	B7
0DB4	B3
0DB5	09
0DB6	1C
0DB7	36
0DB8	E7
0DB9	41
0DBA	35
0DBB	0F
0DBC	C1
0DBD	8A
0DBE	ED
0DBF	64
0DC0	C4
0DC1	64
0DC2	24
0DC3	EF
0DC4	8E
0DC5	47
0DC6	E4
0DC7	36
0DC8	07
0DC9	61
0DCA	43
0DCB	FE
0DCC	81
0DCD	7F
0DCE	56
0DCF	63
0DD0	35
0DD1	96
0DD2	CD
0DD3	6B
0DD4	34
0DD5	7D
0DD6	9D
0DD7	81
0DD8	9E
0DD9	25
0DDA	4D
0DDB	39
0DDC	F6
0DDD	A5
0DDE	CD
0DDF	3C
0DE0	0D
0DE1	35
0DE2	40
0DE3	9F
0DE4	CE
0DE5	5A
0DE6	01
0DE7	A5
0DE8	D9
0DE9	3A
0DEA	3D
0DEB	9B
0DEC	29
0DED	CF
0DEE	6B
0DEF	C1
0DF0	02
0DF1	21
0DF2	FD
0DF3	24
0DF4	1E
0DF5	A2
0DF6	23
0DF7	1E
0DF8	B8
0DF9	0E
0DFA	EB
0DFB	8B
0DFC	0C
0DFD	FD
0DFE	7B
0DFF	FF
0E00	D8
0E01	28
0E02	84
0E03	69
0E04	CC
0E05	F0
0E06	9D
0E07	33
0E08	31
0E09	4A
0E0A	53
0E0B	EC
0E0C	9F
0E0D	BF
0E0E	78
0E0F	8C
0E10	52
0E11	BF
0E12	C5
0E13	29
0E14	C0
0E15	71
0E16	1B
0E17	0D
0E18	90
0E19	90
0E1A	19
0E1B	F0
0E1C	61
0E1D	A6
0E1E	29
0E1F	38
0E20	19
0E21	D0
0E22	3A
0E23	F1
0E24	AB
0E25	82
0E26	DB
0E27	3C
0E28	5E
0E29	99
0E2A	0E
0E2B	D5
0E2C	BC
0E2D	FE
0E2E	48
0E2F	4B
0E30	FA
0E31	B3
0E32	53
0E33	A2
0E34	16
0E35	DC
0E36	4B
0E37	4B
0E38	8E
0E39	21
0E3A	A2
0E3B	A7
0E3C	B6
0E3D	FC
0E3E	0F
0E3F	FC
0E40	D0
0E41	23
0E42	90
0E43	70
0E44	D9
0E45	A6
0E46	07
0E47	B3
0E48	CB
0E49	04
0E4A	E7
0E4B	9A
0E4C	CA
0E4D	96
0E4E	B0
0E4F	20
0E50	DF
0E51	EE
0E52	32
0E53	86
0E54	75
0E55	41
0E56	7F
0E57	BE
0E58	33
0E59	A4
0E5A	9B
0E5B	AD
0E5C	CA
0E5D	48
0E5E	9C
0E5F	47
0E60	2D
0E61	77
0E62	83
0E63	A4
0E64	0B
0E65	B2
0E66	C6
0E67	AF
0E68	44
0E69	B3
0E6A	DD
0E6B	4A
0E6C	46
0E6D	0A
0E6E	C3
0E6F	F0
0E70	36
0E71	F9
0E72	82
0E73	88
0E74	AD
0E75	9C
0E76	84
0E77	89
0E78	D9
0E79	93
0E7A	D0
0E7B	F6
0E7C	9A
0E7D	58
0E7E	41
0E7F	10
0E80	A9
0E81	7C
0E82	F6
0E83	CF
0E84	0D
0E85	89
0E86	A4
0E87	7D
0E88	04
0E89	34
0E8A	4C
0E8B	67
0E8C	A2
0E8D	18
0E8E	D9
0E8F	4D
0E90	B1
0E91	00
0E92	EA
0E93	52
0E94	7C
0E95	4C
0E96	EC
0E97	EC
0E98	98
0E99	44
0E9A	CF
0E9B	60
0E9C	F3
0E9D	39
0E9E	CF
0E9F	29
0EA0	25
0EA1	D5
0EA2	46
0EA3	1B
0EA4	71
0EA5	0A
0EA6	E4
0EA7	F4
0EA8	FC
0EA9	4D
0EAA	3F
0EAB	99
0EAC	84
0EAD	65
0EAE	07
0EAF	B3
0EB0	0C
0EB1	ED
0EB2	92
0EB3	E1
0EB4	7C
0EB5	17
0EB6	AE
0EB7	8D
0EB8	98
0EB9	63
0EBA	8C
0EBB	EF
0EBC	29
0EBD	1C
0EBE	8A
0EBF	53
0EC0	CD
0EC1	17
0EC2	6B
0EC3	7D
0EC4	97
0EC5	5D
0EC6	AD
0EC7	95
0EC8	00
0EC9	A5
0ECA	2A
0ECB	C6
0ECC	7D
0ECD	84
0ECE	5C
0ECF	F1
0ED0	D3
0ED1	03
0ED2	B0
0ED3	25
0ED4	3A
0ED5	2F
0ED6	C2
0ED7	98
0ED8	8D
0ED9	87
0EDA	0B
0EDB	67
0EDC	0A
0EDD	BA
0EDE	C5
0EDF	A9
0EE0	EB
0EE1	C8
0EE2	17
0EE3	D4
0EE4	D3
0EE5	83
0EE6	CA
0EE7	43
0EE8	5E
0EE9	E8
0EEA	6D
0EEB	44
0EEC	7B
0EED	56
0EEE	07
0EEF	1F
0EF0	A1
0EF1	8B
0EF2	74
0EF3	F0
0EF4	F4
0EF5	D8
0EF6	ED
0EF7	64
0EF8	E5
0EF9	27
0EFA	F3
0EFB	6D
0EFC	D3
0EFD	DD
0EFE	C9
0EFF	7F
0F00	F2
0F01	1D
0F02	72
0F03	F8
0F04	FF
0F05	7C
0F06	BA
0F07	0E
0F08	EC
0F09	5B
0F0A	2B
0F0B	A5
0F0C	CD
0F0D	DE
0F0E	83
0F0F	AC
0F10	C9
0F11	22
0F12	DC
0F13	B0
0F14	2F
0F15	53
0F16	F5
0F17	79
0F18	43
0F19	D6
0F1A	D7
0F1B	0A
0F1C	49
0F1D	EF
0F1E	00
0F1F	1A
0F20	0E
0F21	B8
0F22	90
0F23	23
0F24	2C
0F25	0B
0F26	96
0F27	BE
0F28	6C
0F29	6A
0F2A	71
0F2B	1B
0F2C	DC
0F2D	E4
0F2E	6C
0F2F	7A
0F30	DC
0F31	9A
0F32	0F
0F33	64
0F34	81
0F35	09
0F36	53
0F37	B5
0F38	EB
0F39	B0
0F3A	C9
0F3B	77
0F3C	0C
0F3D	C2
0F3E	FD
0F3F	59
0F40	9D
0F41	61
0F42	AB
0F43	85
0F44	66
0F45	ED
0F46	E8
0F47	35
0F48	BC
0F49	CC
0F4A	8F
0F4B	8E
0F4C	FE
0F4D	5B
0F4E	1D
0F4F	13
0F50	5F
0F51	6F
0F52	BC
0F53	F8
0F54	E4
0F55	42
0F56	C9
0F57	60
0F58	C2
0F59	72
0F5A	84
0F5B	C7
0F5C	2E
0F5D	5D
0F5E	6C
0F5F	DE
0F60	3A
0F61	BC
0F62	5E
0F63	A9
0F64	AD
0F65	FF
0F66	30
0F67	67
0F68	25
0F69	9D
0F6A	9E
0F6B	08
0F6C	2A
0F6D	E9
0F6E	45
0F6F	7E
0F70	4F
0F71	FA
0F72	93
0F73	66
0F74	DA
0F75	9C
0F76	22
0F77	CC
0F78	8D
0F79	A0
0F7A	5F
0F7B	62
0F7C	7E
0F7D	FB
0F7E	5B
0F7F	32
0F80	E5
0F81	E5
0F82	08
0F83	52
0F84	70
0F85	92
0F86	FE
0F87	11
0F88	6C
0F89	D2
0F8A	14
0F8B	DE
0F8C	8A
0F8D	D0
0F8E	BE
0F8F	E5
0F90	F9
0F91	F8
0F92	23
0F93	34
0F94	E7
0F95	C2
0F96	E9
0F97	40
0F98	9E
0F99	C9
0F9A	89
0F9B	C9
0F9C	A4
0F9D	7A
0F9E	93
0F9F	53
0FA0	58
0FA1	27
0FA2	03
0FA3	C3
0FA4	9F
0FA5	56
0FA6	E3
0FA7	A0
0FA8	D4
0FA9	C7
0FAA	59
0FAB	C7
0FAC	EE
0FAD	DC
0FAE	2B
0FAF	70
0FB0	37
0FB1	D0
0FB2	42
0FB3	23
0FB4	D2
0FB5	CD
0FB6	FA
0FB7	B4
0FB8	02
0FB9	6A
0FBA	AF
0FBB	B1
0FBC	0F
0FBD	8D
0FBE	68
0FBF	72
0FC0	89
0FC1	1D
0FC2	85
0FC3	2B
0FC4	90
0FC5	C2
0FC6	A0
0FC7	05
0FC8	97
0FC9	B7
0FCA	0C
0FCB	11
0FCC	7C
0FCD	B0
0FCE	87
0FCF	F0
0FD0	5C
0FD1	6C
0FD2	B9
0FD3	BE
0FD4	19
0FD5	26
0FD6	ED
0FD7	93
0FD8	B4
0FD9	59
0FDA	87
0FDB	60
0FDC	A2
0FDD	95
0FDE	F6
0FDF	3E
0FE0	BD
0FE1	6D
0FE2	CC
0FE3	C0
0FE4	9E
0FE5	E7
0FE6	8A
0FE7	8A
0FE8	8B
0FE9	FF
0FEA	9C
0FEB	F8
0FEC	89
0FED	F5
0FEE	D8
0FEF	43
0FF0	38
0FF1	04
0FF2	04
0FF3	16
0FF4	94
0FF5	06
0FF6	92
0FF7	4F
0FF8	C8
0FF9	6A
0FFA	91
0FFB	2F
0FFC	BF
0FFD	0D
0FFE	F3
0FFF	C5
1000	D7
1001	12
1002	DA
1003	31
1004	9C
1005	AB
1006	81
1007	70
1008	EC
1009	C0
100A	BB
100B	C0
100C	CB
100D	C8
100E	5A
100F	C1
1010	38
1011	95
1012	D1
1013	21
1014	95
1015	11
1016	F8
1017	23
1018	60
1019	CB
101A	03
101B	7A
101C	4B
101D	51
101E	80
101F	D8
1020	EC
1021	AC
1022	25
1023	41
1024	7E
1025	F6
1026	FE
1027	F0
1028	50
1029	70
102A	31
102B	A6
102C	3B
102D	1D
102E	0A
102F	3B
1030	13
1031	93
1032	4C
1033	FE
1034	7B
1035	CB
1036	A4
1037	1A
1038	83
1039	2D
103A	3F
103B	ED
103C	A3
103D	8E
103E	21
103F	20
1040	C2
1041	E3
1042	A3
1043	58
1044	3B
1045	F0
1046	28
1047	4E
1048	A5
1049	40
104A	B3
104B	B2
104C	C0
104D	8A
104E	BC
104F	3D
1050	48
1051	4C
1052	F6
1053	38
1054	42
1055	54
1056	46
1057	AA
1058	2C
1059	B2
105A	39
105B	45
105C	FE
105D	FF
105E	E9
105F	CB
1060	BF
1061	F5
1062	72
1063	B4
1064	EA
1065	CF
1066	8B
1067	82
1068	76
1069	99
106A	3B
106B	AB
106C	89
106D	55
106E	12
106F	35
1070	88
1071	C3
1072	4D
1073	A9
1074	6B
1075	7B
1076	AB
1077	58
1078	EC
1079	A1
107A	8D
107B	8B
107C	EA
107D	C3
107E	C7
107F	F1
1080	BD
1081	AE
1082	AE
1083	25
1084	A5
1085	87
1086	34
1087	2E
1088	DA
1089	BD
108A	C3
108B	8D
108C	5F
108D	BD
108E	61
108F	9B
1090	B3
1091	C7
1092	24
1093	00
1094	54
1095	09
1096	95
1097	E3
1098	8E
1099	C7
109A	E7
109B	55
109C	BE
109D	AA
109E	65
109F	74
10A0	70
10A1	87
10A2	A6
10A3	81
10A4	C9
10A5	E7
10A6	B5
10A7	F9
10A8	6B
10A9	AC
10AA	69
10AB	4B
10AC	8C
10AD	83
10AE	66
10AF	CA
10B0	7E
10B1	7B
10B2	EB
10B3	51
10B4	52
10B5	93
10B6	6D
10B7	02
10B8	A1
10B9	CC
10BA	39
10BB	03
10BC	F7
10BD	1B
10BE	2F
10BF	F0
10C0	C5
10C1	B5
10C2	7C
10C3	3E
10C4	08
10C5	F2
10C6	67
10C7	5A
10C8	03
10C9	D7
10CA	1B
10CB	61
10CC	7A
10CD	98
10CE	18
10CF	F6
10D0	0D
10D1	AA
10D2	C0
10D3	67
10D4	29
10D5	7B
10D6	64
10D7	9D
10D8	49
10D9	99
10DA	7B
10DB	73
10DC	D2
10DD	D0
10DE	69
10DF	A8
10E0	C4
10E1	9E
10E2	75
10E3	1B
10E4	7E
10E5	97
10E6	FC
10E7	DA
10E8	DB
10E9	56
10EA	11
10EB	07
10EC	82
10ED	D4
10EE	32
10EF	37
10F0	28
10F1	5B
10F2	74
10F3	D3
10F4	D0
10F5	BE
10F6	B6
10F7	FB
10F8	8E
10F9	37
10FA	7D
10FB	AF
10FC	84
10FD	B0
10FE	78
10FF	06
1100	F9
1101	35
1102	2A
